sentence,number,sentence owner,voice
トムは試したの？,2581786,OrangeTart,huizi99
トムは太った。,2638160,OrangeTart,huizi99
頭痛いの治った？,2724917,tommy_san,yomi
トムはもう来た？,2740707,tommy_san,huizi99
そうなんですか？,2744751,tommy_san,Mizu
靴どこで脱いだ？,2858325,tommy_san,yomi
何か探してるの？,2871644,tommy_san,yomi
あのコアラ見て！,2901219,tommy_san,yomi
トムは雨男だ。,2944722,tommy_san,huizi99
何か隠してるの？,2985792,Fukuko,yomi
熱計ってみたら？,3023116,tommy_san,yomi
そっちは今何時？,3050857,tommy_san,yomi
まだ雨降ってる？,3125445,tommy_san,yomi
今週末空いてる？,3247983,tommy_san,yomi
昨日何時に寝た？,3395375,tommy_san,yomi
これ誰のコップ？,3416307,tommy_san,yomi
今携帯持ってる？,3455785,tommy_san,yomi
鼻血出てるよ。,3479892,tommy_san,yomi
トムを呼んで。,3480424,arnab,huizi99
あれはトムかな？,3507410,arnab,huizi99
トムは病気なの？,3507424,arnab,huizi99
また来てもいい？,3559172,tommy_san,yomi
私何歳に見える？,3587931,tommy_san,yomi
今好きな人いる？,3589664,tommy_san,yomi
私の鍵知らない？,3606373,tommy_san,yomi
もう11時だよ。,3637575,tommy_san,yomi
ここよく来るの？,3677754,tommy_san,yomi
コート脱いだら？,3798942,tommy_san,yomi
この歌知ってる？,3850805,tommy_san,yomi
元気出しなよ。,3859522,tommy_san,yomi
トムに鍵渡した？,3927443,Ariel131,yomi
これ誰のですか？,4095939,tommy_san,Mizu
トムは泳いだ。,4344694,nihonjin,huizi99
トムが負けた。,4344738,nihonjin,huizi99
今何時か分かる？,4636745,tommy_san,yomi
冬休み何日から？,4661510,tommy_san,yomi
車を停めなさい！,4897850,huizi99,huizi99
連絡して下さい。,77409,mookeee,huizi99
無理しないでね。,80886,bunbuku,yomi
熱があるんです。,121901,tommy_san,Mizu
待たせてごめん。,137945,tommy_san,yomi
専攻は何ですか。,141421,tommy_san,Mizu
急いでください。,182591,mookeee,huizi99
喜んで行きます。,183540,tommy_san,Mizu
1分は60秒です。,190068,tommy_san,Mizu
トムはよく働く。,199994,bunbuku,huizi99
トムはいい人だ。,200117,bunbuku,huizi99
お水をください。,227004,bunbuku,huizi99
いつ帰ってくるの？,228677,bunbuku,yomi
新入生の方ですか？,231820,tommy_san,yomi
どこ行ってきたの？,979750,bunbuku,yomi
助けてください。,1039551,bunbuku,huizi99
明日の夜とかどう？,1619851,mookeee,yomi
それどういう意味？,1836383,TomoyukiTanaka,yomi
トムと会いたい。,2033145,bunbuku,huizi99
トムは青ざめた。,2095040,bunbuku,huizi99
トムに会いたい。,2125722,bunbuku,huizi99
今から直します。,2241832,tommy_san,Mizu
これ見たことある？,2242013,bunbuku,yomi
トムは賢い子だ。,2242018,bunbuku,huizi99
トムは選択した。,2242330,bunbuku,huizi99
トムはのんきだ。,2242480,wool,huizi99
質問はありますか？,2278888,tommy_san,Mizu
どう思われますか？,2308949,tommy_san,Mizu
トムは声が高い。,2310031,tommy_san,huizi99
ごめん間違えた。,2312027,tommy_san,yomi
傘忘れないでね。,2312105,tommy_san,yomi
トムは面食いだ。,2313015,tommy_san,huizi99
トムは寝ていた。,2315987,tommy_san,huizi99
トムってどんな人？,2385289,tommy_san,huizi99
イヤホン持ってる？,2393527,wakatyann630,yomi
留学生の方ですか？,2412266,tommy_san,yomi
見てるだけです。,2413229,tommy_san,Mizu
一箱いくらですか？,2416577,tommy_san,Mizu
それ取ってくれる？,2419784,tommy_san,yomi
トムは目が青い。,2439240,tommy_san,huizi99
トムの目は青い。,2439243,tommy_san,huizi99
誰にも言うなよ。,2469769,tommy_san,yomi
トムは本の虫だ。,2504606,tommy_san,huizi99
トムは求職中だ。,2518672,tommy_san,huizi99
ここは病院です。,2604697,tommy_san,Mizu
トムは働けない。,2617891,OrangeTart,huizi99
トムが笑ってる。,2622243,OrangeTart,huizi99
トムは格好いい。,2622376,OrangeTart,huizi99
トムはデブった。,2638146,OrangeTart,huizi99
トムはもう寝た。,2659115,OrangeTart,huizi99
トムは歯が痛い。,2659331,OrangeTart,huizi99
トムは母親似だ。,2692371,tommy_san,huizi99
トムは足が速い。,2692386,tommy_san,huizi99
トムは口が堅い。,2694262,tommy_san,huizi99
トムは頭が固い。,2706800,tommy_san,huizi99
トムは目が悪い。,2706845,tommy_san,huizi99
トムは台所だよ。,2706861,tommy_san,huizi99
トムは顔が広い。,2706876,tommy_san,huizi99
トムは頭がいい。,2706899,tommy_san,huizi99
トムは元気してる？,2740709,tommy_san,huizi99
トムの声がする。,2740725,tommy_san,huizi99
水泳は好きですか？,2750301,tommy_san,Mizu
トムの彼女って誰？,2767287,tommy_san,yomi
これ誰のか分かる？,2836250,tommy_san,yomi
これいくらですか？,2852684,tommy_san,Mizu
終電は何時ですか？,2869237,tommy_san,yomi
トムは低血圧だ。,2946897,tommy_san,huizi99
トムは高血圧だ。,2946900,tommy_san,huizi99
トムは声が低い。,2946902,tommy_san,huizi99
暑くないんですか？,2951718,tommy_san,Mizu
この自転車、誰の？,2964006,tommy_san,yomi
午後の会議、出る？,2992030,tommy_san,yomi
それ誰がくれたの？,3006980,tommy_san,yomi
目に何か入った。,3010178,tommy_san,yomi
手つないでもいい？,3023119,tommy_san,yomi
一人いくらですか？,3024513,tommy_san,Mizu
母は弁護士です。,3050886,tommy_san,Mizu
なんで笑ってるの？,3105602,tommy_san,yomi
これ誰の本ですか？,3114652,tommy_san,Mizu
みんな眠くないの？,3241580,tommy_san,yomi
トムから返事来た？,3395376,tommy_san,yomi
トムは喉が痛い。,3450161,arnab,huizi99
今日の夜予定ある？,3452060,tommy_san,yomi
最近何か映画見た？,3454112,tommy_san,yomi
トムに電話して。,3480422,arnab,huizi99
トム怒ってるかな？,3488464,arnab,huizi99
トムは近くにいる？,3496707,arnab,huizi99
トムっていいヤツ？,3507419,arnab,huizi99
出口はどこですか？,3549611,tommy_san,yomi
トムは策略家だ。,3555496,arnab,huizi99
理由聞いてもいい？,3559174,tommy_san,yomi
電話借りてもいい？,3559212,tommy_san,yomi
トムを見つけて。,3573587,arnab,huizi99
電気消してもいい？,3589622,tommy_san,yomi
なんで知ってるの？,3589979,tommy_san,yomi
なんでそう思うの？,3590711,tommy_san,yomi
試験頑張ってね。,3615494,tommy_san,yomi
テストどうだった？,3699097,tommy_san,yomi
私のこと嫌いなの？,3703418,tommy_san,yomi
それ私のCDだよね？,3712602,tommy_san,yomi
お土産何買ったの？,4445365,tommy_san,yomi
トムは泳げない。,4591663,wat,huizi99
今日の晩ごはん何？,4704222,tommy_san,yomi
旅行どうでしたか？,4751193,tommy_san,Mizu
仕事はどうですか？,4751203,tommy_san,Mizu
学校はどうですか？,4751207,tommy_san,Mizu
この車誰のですか？,4769893,tommy_san,Mizu
これ誰の車ですか？,4769894,tommy_san,Mizu
この傘誰のですか？,4769898,tommy_san,Mizu
これ誰の傘ですか？,4769900,tommy_san,Mizu
もう大丈夫です。,4897935,huizi99,huizi99
誰もケガしてない？,4900052,huizi99,huizi99
明日は日曜日です。,80407,tommy_san,Mizu
本当にありがとう。,81557,tommy_san,yomi
変なこと言うなよ。,83388,tommy_san,yomi
払わせてください。,83843,bunbuku,huizi99
大人２枚ください。,137485,bunbuku,huizi99
石鹸がありません。,142339,tommy_san,Mizu
私はここにいたい。,161054,tommy_san,yomi
今日は暑いですね。,171591,tommy_san,yomi
何かお探しですか。,188129,tommy_san,Mizu
一休みしませんか。,190671,tommy_san,Mizu
また来てください。,195385,bunbuku,huizi99
トムは首になった。,199895,bunbuku,huizi99
どういう意味ですか？,201705,tommy_san,Mizu
テレビ消してもいい？,201928,bunbuku,yomi
テレビつけてもいい？,202043,bunbuku,yomi
ぜひ来てください。,214003,bunbuku,huizi99
コーヒーください。,224934,bunbuku,huizi99
お風呂先に入るね。,886077,bunbuku,yomi
明日は何か予定ある？,1063562,bunbuku,yomi
トムに聞きなさい。,2038383,bunbuku,huizi99
今夜トムに会った。,2125719,bunbuku,huizi99
トムは車に乗った。,2126252,bunbuku,huizi99
トムは渋っている。,2236839,tommy_san,huizi99
相変わらず忙しいの？,2309936,tommy_san,yomi
トムは素晴らしい。,2349379,hutian,huizi99
トムは気を失った。,2370549,tommy_san,huizi99
心から同意します。,2370570,tommy_san,Mizu
トムは手が大きい。,2383097,tommy_san,huizi99
トムは街を離れた。,2392496,heppoko1987,huizi99
見ているだけです。,2413217,tommy_san,Mizu
これ誰にもらったの？,2419798,tommy_san,yomi
トムは明日来れるの？,2446683,tommy_san,yomi
ゆっくり休んでね。,2456854,tommy_san,yomi
お風呂空いてるよ。,2469523,tommy_san,yomi
音楽はお好きですか？,2499122,tommy_san,Mizu
トムは上半身裸だ。,2499138,tommy_san,huizi99
これ、売り物ですか？,2499661,tommy_san,yomi
トムは泣いていた。,2515512,tommy_san,huizi99
トムに会ってきて。,2562515,OrangeTart,huizi99
トムが踊っている。,2622312,OrangeTart,huizi99
トムが泣いている。,2622328,OrangeTart,huizi99
トムは興味津々だ。,2622374,OrangeTart,huizi99
トムは多分大丈夫。,2626305,OrangeTart,huizi99
トムは寝ていない。,2628402,OrangeTart,huizi99
トムは落っこちた。,2638124,OrangeTart,huizi99
トムが落っこちた。,2638126,OrangeTart,huizi99
UNはUnitedNationsの略です。,2664712,tommy_san,Mizu
今日は木曜日です。,2670479,tommy_san,Mizu
トムは髪を染めた。,2690762,tommy_san,huizi99
トムは忘れっぽい。,2694269,tommy_san,huizi99
トムは手が小さい。,2694316,tommy_san,huizi99
トムは酔っていた。,2700205,tommy_san,huizi99
トムは腹を立てた。,2706908,tommy_san,huizi99
本日は定休日です。,2715375,tommy_san,Mizu
トムの本名知ってる？,2721608,tommy_san,yomi
トムは未婚だった。,2728128,tommy_san,huizi99
トムは目を閉じた。,2733756,tommy_san,huizi99
トムのこと怒ってる？,2739685,tommy_san,yomi
トムに話してもいい？,2739757,tommy_san,yomi
トム忙しそうだった？,2739764,tommy_san,yomi
お酒は飲まれますか？,2739777,tommy_san,Mizu
トムの住所知ってる？,2740698,tommy_san,yomi
トムが話している。,2860775,Nekonari,huizi99
これ誰の字か分かる？,2871658,tommy_san,yomi
着いて来ないでよ。,2904882,tommy_san,yomi
発音悪くてごめん。,2936963,tommy_san,yomi
どこにいたの、トム？,3026662,tommy_san,huizi99
みんな鉛筆持ってる？,3030041,tommy_san,yomi
好きな諺は何ですか？,3044952,tommy_san,Mizu
これ自分で描いたの？,3093923,tommy_san,yomi
足のあざどうしたの？,3126816,tommy_san,yomi
転ばないようにね。,3241561,tommy_san,yomi
僕はトムとは違う。,3366875,arnab,huizi99
今夜スカイプできる？,3423971,tommy_san,yomi
旅行はお好きですか？,3452042,tommy_san,Mizu
トムを連れてきて。,3480363,arnab,huizi99
トムを探してきて。,3491616,arnab,huizi99
トムを見てごらん。,3507466,arnab,huizi99
なんか焦げ臭くない？,3523182,tommy_san,yomi
黒いのが私のです。,3555812,tommy_san,yomi
何歳か聞いてもいい？,3558987,tommy_san,yomi
浮気されたことある？,3561862,tommy_san,yomi
信号青になったよ。,3589613,tommy_san,yomi
好きな歌手とかいる？,3589999,tommy_san,yomi
トムまだ来てないの？,3592943,tommy_san,yomi
トムはホッとした。,3623893,arnab,huizi99
さっき話してた人誰？,3624960,tommy_san,yomi
犬と猫どっちが好き？,3643242,tommy_san,yomi
この席空いてますか？,3703959,tommy_san,Mizu
それ本気で言ってる？,3718521,tommy_san,yomi
それ誰に言われたの？,3850402,tommy_san,yomi
嘘ついてるでしょ。,3878043,tommy_san,yomi
明日どこで会おうか？,3978901,tommy_san,yomi
あの建物は何ですか？,4024248,tommy_san,Mizu
入ってもいいですか？,4147428,tommy_san,Mizu
旅行はどうでしたか？,4270214,tommy_san,Mizu
トムから連絡あった？,4270219,tommy_san,yomi
トムは嘘をついた。,4321466,nihonjin,huizi99
トムを抱きしめて。,4344860,nihonjin,huizi99
もっかいやらして。,4449038,tommy_san,yomi
どうだった、テスト？,4751174,tommy_san,yomi
この傘いくらですか？,4817734,tommy_san,Mizu
幽霊って信じますか？,4843465,tommy_san,Mizu
目を閉じてください。,79930,mookeee,huizi99
目がゴロゴロします。,80023,tommy_san,Mizu
僕は水泳が苦手です。,81837,tommy_san,Mizu
帽子を脱いで下さい。,82593,bunbuku,huizi99
動かないでください。,123791,mookeee,huizi99
息を止めてください。,140211,bunbuku,huizi99
窓を開けてください。,140360,bunbuku,huizi99
前に進んでください。,140994,bunbuku,huizi99
心配しなくていいよ。,145543,bunbuku,yomi
少々おまちください。,146661,bunbuku,huizi99
出身はどちらですか。,147746,tommy_san,Mizu
集合場所はどこですか？,148104,tommy_san,Mizu
時計をなくしました。,150488,tommy_san,Mizu
私は後から行きます。,157194,tommy_san,yomi
私にやらせてくれない？,164478,tommy_san,yomi
好きな歌手は誰ですか？,173784,tommy_san,Mizu
お茶をもらえますか。,174250,tommy_san,Mizu
警察を呼んで下さい。,176088,bunbuku,huizi99
禁煙席はありますか。,179954,tommy_san,Mizu
急がなくてもいいよ。,182548,tommy_san,yomi
鉛筆で書いて下さい。,188627,bunbuku,huizi99
医者を呼んで下さい。,190738,bunbuku,huizi99
ほんの少しください。,195867,bunbuku,huizi99
ペンで書いて下さい。,196626,bunbuku,huizi99
どちらのご出身ですか？,200771,tommy_san,Mizu
どこの席がいいですか？,200904,tommy_san,Mizu
トイレはどこですか。,201726,bunbuku,yomi
ドアを閉めて下さい。,201774,bunbuku,huizi99
タクシーで行こうよ。,203728,arnab,yomi
ここに書いて下さい。,224406,bunbuku,huizi99
コーヒーをください。,224884,bunbuku,huizi99
お話し中すみません。,226503,bunbuku,yomi
いつでも来て下さい。,228814,bunbuku,huizi99
好きな作家は誰ですか？,233311,tommy_san,Mizu
それ、マジで言ってる？,886088,bunbuku,yomi
私って太ってると思う？,1538018,bunbuku,yomi
どちらにご滞在ですか？,1631739,mookeee,huizi99
バス停で待ってるよ。,1656230,mookeee,yomi
お手洗いはどこですか?,1829669,TomoyukiTanaka,yomi
説明させてください。,1882978,Unaden,huizi99
行かないでください。,2006378,bunbuku,huizi99
お手伝いしましょうか？,2125747,bunbuku,yomi
そちらは今何時ですか？,2182818,tommy_san,Mizu
お金を忘れたのですか？,2214210,tommy_san,Mizu
その池は深さ3mです。,2238024,tommy_san,Mizu
この文は現在形です。,2243170,tommy_san,Mizu
どっちが正しいと思う？,2250597,tommy_san,yomi
ちょっと休みませんか？,2265696,Ianagisacos,huizi99
お昼はもう食べたよ。,2269121,tommy_san,yomi
トム、邪魔しないで。,2269394,tommy_san,huizi99
トムに聞いてみます。,2311962,tommy_san,yomi
入場料はいくらですか？,2416571,tommy_san,yomi
机には何が入ってるの？,2446307,tommy_san,yomi
何か隠してるでしょ。,2460894,tommy_san,yomi
このパン食べてもいい？,2471944,tommy_san,yomi
胸がズキズキします。,2478145,tommy_san,Mizu
その言葉は初耳です。,2492445,tommy_san,Mizu
トムは何語ができるの？,2559567,tommy_san,huizi99
トムはもう起きました？,2570511,OrangeTart,huizi99
これは本当の話です。,2605209,tommy_san,Mizu
お皿が汚れています。,2730929,tommy_san,Mizu
トムに電話してみたら？,2733794,tommy_san,yomi
トム連れてきてもいい？,2739755,tommy_san,huizi99
トムのこと愛してるの？,2740700,tommy_san,huizi99
他に質問はありますか？,2750250,tommy_san,Mizu
トム、メアド教えて。,2752672,tommy_san,huizi99
好きな動物は何ですか？,2759287,tommy_san,Mizu
好きな野菜は何ですか？,2759288,tommy_san,Mizu
何がそんなに悲しいの？,2772833,tommy_san,yomi
すごくうれしいです。,2780204,tommy_san,yomi
明日9時に電話して。,2790461,tommy_san,yomi
右腕が上がりません。,2803449,tommy_san,Mizu
何も思い出せません。,2813846,tommy_san,Mizu
お金を盗まれました。,2834135,tommy_san,Mizu
救急車呼びましょうか？,2838455,tommy_san,yomi
この時計いくらですか？,2852688,tommy_san,yomi
トムは責任感が強い。,2944656,tommy_san,huizi99
明日が待ち遠しいよ。,2947270,tommy_san,yomi
なんか変な臭いしない？,2960829,tommy_san,yomi
二人ともありがとう。,2991029,tommy_san,yomi
急がないと遅れるよ。,3003343,tommy_san,yomi
長い一週間だったな。,3006685,tommy_san,yomi
また後で電話するね。,3024537,tommy_san,yomi
母は高校の先生です。,3050904,tommy_san,Mizu
何時にどこで会おうか？,3054767,tommy_san,yomi
明日の朝まで待って。,3110692,tommy_san,yomi
入場券はいくらですか？,3110746,tommy_san,Mizu
私もそんな気がする。,3169400,tommy_san,yomi
ごめん、名前何だっけ？,3179527,tommy_san,yomi
トムを見習いなさい。,3232489,tommy_san,yomi
ドイツでの生活はどう？,3244928,tommy_san,yomi
私のこと嫌いになった？,3245933,tommy_san,yomi
トムって呼んでもいい？,3295565,tommy_san,huizi99
髪に何かついてるよ。,3361447,tommy_san,yomi
野球って何が面白いの？,3361537,tommy_san,yomi
うちは4人家族です。,3374801,tommy_san,Mizu
宇宙人っていると思う？,3400819,tommy_san,yomi
趣味は音楽鑑賞です。,3400864,tommy_san,Mizu
このパーカーどう思う？,3447505,tommy_san,yomi
お勘定お願いします。,3452051,tommy_san,Mizu
めっちゃ恥ずかしい。,3452297,tomo,yomi
もう一回やってみて。,3453236,tommy_san,yomi
パソコン使ってもいい？,3455735,tomo,yomi
トムを許してあげたら？,3491603,arnab,huizi99
変なこと聞いてもいい？,3559173,tommy_san,yomi
タバコ吸ったことある？,3561854,tommy_san,yomi
トムと話したことある？,3561855,tommy_san,huizi99
この曲聞いたことある？,3562101,tommy_san,yomi
かばん開いてますよ。,3565442,tommy_san,yomi
クラスに仲いい人いる？,3589670,tommy_san,yomi
みんな何の話してるの？,3592386,tommy_san,yomi
まだお昼食べてないの？,3593137,tommy_san,yomi
その本どこで買ったの？,3595178,tommy_san,yomi
この靴どこで買ったの？,3595186,tommy_san,yomi
そんなこと言うなよ。,3596583,tommy_san,yomi
駅まで一緒に行かない？,3623504,tommy_san,yomi
何か食べたいものある？,3631723,tommy_san,yomi
甘いものが食べたい。,3635288,tommy_san,yomi
今日は早く寝たいな。,3709600,tommy_san,yomi
このセーターどう思う？,3715087,tommy_san,yomi
映画館は駅から近いの？,3850777,tommy_san,yomi
何か買いたいものある？,3859221,tommy_san,yomi
声変だよ。どうしたの？,3884448,tommy_san,yomi
何歳までに結婚したい？,3888503,tommy_san,yomi
お茶をいただけますか？,4055190,tommy_san,Mizu
どちらへ行かれますか？,4164733,tommy_san,Mizu
ご家族はお元気ですか？,4260196,tommy_san,Mizu
諦めてはいけません。,4260748,tommy_san,Mizu
一番の違いは何ですか？,4494361,tommy_san,Mizu
おっしゃる通りです。,4651964,tommy_san,Mizu
この帽子いくらですか？,4817726,tommy_san,Mizu
ここ座っていいですか？,4842955,tommy_san,Mizu
お化けって信じますか？,4843467,tommy_san,Mizu
今どこにいるんですか？,4865666,tommy_san,Mizu
あれは間違いだった。,4898064,huizi99,huizi99
何か異議がありますか？,4898205,huizi99,huizi99
何かお飲みになりますか？,4913,bunbuku,yomi
来週詳しく説明します。,78623,tommy_san,Mizu
満タンにしてください。,81084,bunbuku,huizi99
切符を見せてください。,142089,bunbuku,huizi99
少し休ませてください。,146817,tommy_san,huizi99
手数料はいくらですか。,148530,tommy_san,yomi
昨日はよく眠れましたか？,169991,tommy_san,Mizu
何が起こったのですか。,188026,tommy_san,Mizu
映画は面白かったですか？,189306,tommy_san,Mizu
ちょっと一服しませんか？,190069,tommy_san,Mizu
バッグを盗まれました。,197966,tommy_san,Mizu
バッグを開けて下さい。,197969,bunbuku,huizi99
はさみを取って下さい。,198276,bunbuku,huizi99
ナイフを貸して下さい。,199334,bunbuku,huizi99
トムは通りを横切った。,199856,bunbuku,huizi99
トムは凧に糸を付けた。,199863,bunbuku,huizi99
トムは三塁打を打った。,199927,bunbuku,huizi99
トムは危険から逃れた。,199966,bunbuku,huizi99
トムはクラスで一番だ。,200102,bunbuku,huizi99
ドアを開けてください。,201797,bunbuku,huizi99
テレビを消して下さい。,201937,bunbuku,huizi99
ちょっと待って下さい。,202733,bunbuku,huizi99
ちょっと見せて下さい。,202785,bunbuku,huizi99
ちょっとお待ち下さい。,202848,bunbuku,huizi99
チャンネル変えてもいい？,202954,tommy_san,yomi
それどういう意味ですか？,205718,tommy_san,Mizu
ご注文はお決まりですか？,217064,tommy_san,yomi
お茶をもう少し下さい。,226855,bunbuku,huizi99
あのノートは誰のですか？,231281,tommy_san,Mizu
あさって来てください。,234490,bunbuku,huizi99
住所を教えてください。,1033718,bunbuku,huizi99
トムはレースに勝った。,1039265,bunbuku,huizi99
トムは片目が見えない。,1097534,mookeee,huizi99
つまようじをください。,1171886,bunbuku,huizi99
電気を消してください。,1171972,bunbuku,huizi99
トムは頭の回転が速い。,1355524,bunbuku,huizi99
トムは物分かりがいい。,1355528,bunbuku,huizi99
トムは今一人ではない。,1411204,bunbuku,huizi99
トムは髪を黒く染めた。,1566683,bunbuku,huizi99
私が直接お伺いします。,1643740,mookeee,huizi99
トムは感激するだろう。,2041027,bunbuku,huizi99
トムは長椅子に座った。,2067073,bunbuku,huizi99
トムは具合が悪そうだ。,2095028,bunbuku,huizi99
トムは銃規制に賛成だ。,2096986,verbum,huizi99
トムは落ち込んでいる。,2098016,bunbuku,huizi99
トムは手を差し出した。,2098578,bunbuku,huizi99
トムは部屋を見回した。,2098584,bunbuku,huizi99
トムはライトをつけた。,2110007,bunbuku,huizi99
トムは明かりをつけた。,2110012,bunbuku,huizi99
トムは電車から降りた。,2110028,bunbuku,huizi99
トムはたらふく食べた。,2125716,bunbuku,huizi99
住所を書いてください。,2134769,bunbuku,huizi99
トムには投票権がある。,2141723,Blanka_Meduzo,huizi99
トムは高校を中退した。,2173170,bunbuku,huizi99
トムは最後に到着した。,2196152,bunbuku,huizi99
お風呂はきれいですか。,2196408,bunbuku,huizi99
あなたは何が得意ですか？,2197785,tommy_san,Mizu
アメリカから来ました。,2231208,tommy_san,Mizu
トムと連絡が取れない。,2242027,bunbuku,huizi99
この文は現在時制です。,2243171,tommy_san,Mizu
ちょっと寒くないですか？,2243422,tommy_san,Mizu
そんなのありえないよ。,2255793,tommy_san,yomi
これは注文と違います。,2255796,tommy_san,Mizu
処方箋をお出しします。,2270834,tommy_san,Mizu
気温は氷点下6度です。,2281526,tommy_san,Mizu
トムに訊いてきますね。,2311964,tommy_san,huizi99
なんで私のこと好きなの？,2312685,tommy_san,yomi
ボストンに来ています。,2313034,tommy_san,Mizu
心配しないでください。,2349145,hutian,huizi99
右に曲がってください。,2349244,hutian,huizi99
心の底から同意します。,2370571,tommy_san,Mizu
トムは禁煙に失敗した。,2374447,tommy_san,huizi99
トムはテレビをつけた。,2378466,tommy_san,huizi99
トムには関係ないんだ。,2385311,tommy_san,huizi99
誰がそんなこと言ったの？,2419795,tommy_san,yomi
トムは信頼できる男だ。,2465623,tommy_san,huizi99
自転車が盗まれました。,2478113,tommy_san,Mizu
準備できたら電話して。,2478124,tommy_san,yomi
トムは歯を磨いている。,2487649,tommy_san,huizi99
トムは気を失っている。,2499135,tommy_san,huizi99
トムは膝を痛めている。,2500710,tommy_san,huizi99
トムは屋根の上にいる。,2500712,tommy_san,huizi99
今日はトムの誕生日だ。,2503267,tommy_san,huizi99
トムは手紙を燃やした。,2515505,tommy_san,huizi99
トムは間違いを認めた。,2519127,tommy_san,huizi99
わざとじゃないんです。,2522589,tommy_san,Mizu
トムは背中を撃たれた。,2526764,tommy_san,huizi99
トムは慌てて家を出た。,2527027,tommy_san,huizi99
トムはよく物をなくす。,2533623,tommy_san,huizi99
トムは何時来てもいい。,2568025,OrangeTart,huizi99
